,Building- lat,longitude,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,building_type,number_of_stories,understory_pct_of_building_footprint,year_built,roof_shape,mwfrs,foundation_type,wall_structure,wall_substrate,wall_cladding,roof_system,roof_substrate_type,roof_cover,status,Building-long,mindist
603,30.20622622,-85.60052477,"Wind,Rain",1,0,3.0,Single Family,1.0,0.0,2012.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Fiber-Cement Board","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.60052477,19.282847130074703
604,30.20631,-85.859044,Wind,1,0,,Hotel/Motel,25.0,0.0,2007.0,Flat,,,,,,,,,1,-85.859044,37.34173883431247
605,30.20635748,-85.59793241,Wind,3,0,,Single Family,2.0,0.0,2016.0,Hip,"""Roof Diaphragm, wood""",,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.59793241,19.034408121774657
606,30.20638645,-85.59749655,"Rain,Wind",2,0,,Single Family,2.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59749655,18.992668390732938
607,30.20645165,-85.59586879,"Wind,Rain",2,0,,Single Family,2.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59586879,18.836619728375013
608,30.20645802,-85.67955706,"Wind,Rain",2,0,,Single Family,2.0,0.0,2017.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, unknown""",Unknown,Asphalt shingles (laminated),2,-85.67955706,26.874972118230616
609,30.206534,-85.597283,Wind,3,0,,Single Family,2.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.597283,18.972767641830178
610,30.20654495,-85.67950375,"Rain,Wind",2,0,,Single Family,2.0,20.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, trusses""",Unknown,Asphalt shingles (3-tab),1,-85.67950375,26.87009907957381
611,30.20654611,-85.59625335,"Wind,Rain",2,0,3.0,Single Family,1.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown),Wood Shake/Shingle","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59625335,18.87394222001392
612,30.20678834,-85.67924224,"Wind,Rain",2,0,,Single Family,1.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,"Fiber-Cement Board,Wood Shake/Shingle","""Wood, trusses""",Unknown,Asphalt shingles (3-tab),1,-85.67924224,26.84569143420148
